Word,Pronunciation
manure,məˈnʊr
margins,ˈmɑr.dʒənz
marie,mɚˈi
marr,mɑr
martini,mɑrˈti.ni
marvel,ˈmɑr.vəl
masonry,ˈmeɪ.sən.ri
mast,mæst
matilda,məˈtɪl.də
maze,meɪz
meager,ˈmi.gɚ
membrane,ˈmɛmˌbreɪn
meteorite,ˈmi.ti.ɔˌraɪt
meter,ˈmi.tɚ
methodically,məˈθɑ.dɪ.kə.li
meticulously,məˈtɪk.jə.lə.sli
meyer,ˈmaɪ.ɚ
microscopically,ˌmaɪ.krəˈskɑ.pɪ.kli
midwestern,mɪdˈwɛs.tɚn
miller's,ˈmɪ.lɚz
minced,mɪnst
mind's,maɪndz
misunderstood,ˌmɪˌsʌn.dɚˈstʊd
moderately,ˈmɑ.dɚ.ət.li
modernity,mɑˈdɝ.nə.ti
modifications,ˌmɑ.də.fəˈkeɪ.ʃənz
modify,ˈmɑ.dəˌfaɪ
molecule,ˈmɑ.ləkˌjul
mollie,ˈmɑ.li
momentary,ˈmoʊ.mənˌtɛ.ri
monster,ˈmɑn.stɚ
morgan's,ˈmɔr.gənz
mose,moʊz
mountainous,ˈmaʊn.tə.nəs
mulch,mʌltʃ
multiplication,ˌmʌl.tə.pləˈkeɪ.ʃən
multnomah,ˌmʌlˈnoʊ.mə
munich,ˈmju.nɪk
musket,ˈmʌs.kət
myths,mɪθs
nail,neɪl
nara,ˈnɑ.rə
narragansett,ˌnɛ.rəˈgæn.sət
narrowly,ˈnɛ.roʊ.li
navigation,ˌnæ.vəˈgeɪ.ʃən
nbc,ˈkɑn.fə.dəns
ne,ˌɛˈni
nebraska,nəˈbræs.kə
needles,ˈni.dəlz
needy,ˈni.di
negotiation,nɪˌgoʊ.ʃiˈeɪ.ʃən
nellie,ˈnɛ.li
neurosis,nʊˈroʊ.səs
nevada,nəˈvæ.də
newborn,ˈnu.bɔrn
newspaperman,ˈnuzˌpeɪ.pɚˌmæn
newton,ˈnu.tən
noises,ˈnɔɪ.zɪz
noisy,ˈnɔɪ.zi
non-catholic,nɑnˈkæθ.lɪk
norberg,ˈnɔr.bɚg
noses,ˈnoʊ.zɪz
nostalgic,nɔˈstæl.dʒɪk
notch,nɑtʃ
notches,ˈnɑ.tʃəz
notre,ˈnoʊ.tɚ
oath,oʊθ
observance,əbˈzɝ.vəns
offenses,əˈfɛn.sɪz
officers',ˈɔ.fɪ.sɚz
olga,ˈoʊl.gə
omitting,oʊˈmɪ.tɪŋ
opaque,oʊˈpeɪk
opener,ˈoʊ.pə.nɚ
operative,ˈɑ.pɚ.ə.tɪv
operetta,ˌɑ.pɚˈɛ.tə
oppression,əˈprɛ.ʃən
oranges,ˈɔ.rɪn.dʒɪz
organism,ˈɔr.gəˌnɪ.zəm
originality,əˌrɪ.dʒəˈnæ.lə.ti
originate,əˈrɪ.dʒəˌneɪt
orthography,ɔrˈθɑ.grə.fi
orvis,ˈɔr.vɪs
osaka,oʊˈsɑ.kə
ossification,ˌɑ.sə.fəˈkeɪ.ʃən
outbursts,ˈaʊtˌbɝsts
outdoors,ˌaʊtˈdɔrz
outlets,ˈaʊtˌlɛts
outlined,ˈaʊtˌlaɪnd
outlines,ˈaʊtˌlaɪnz
outspoken,ˌaʊtˈspoʊ.kən
overcoming,ˈoʊ.vɚˌkʌ.mɪŋ
overheard,ˌoʊ.vɚˈhɝd
ox,ɑks
oyster,ˈɔɪ.stɚ
packaged,ˈpæ.kɪdʒd
packages,ˈpæ.kɪ.dʒɪz
paired,pɛrd
palmer's,ˈpɑl.mɚz
paneling,ˈpæ.nə.lɪŋ
pansy,ˈpæn.zi
paradigm,ˈpɛ.rəˌdaɪm
paralysis,pɚˈæ.lə.səs
parenthood,ˈpɛ.rəntˌhʊd
parents',ˈpɛr.ənts
parkway,ˈpɑrˌkweɪ
parthenon,ˈpɑr.θəˌnɑn
partition,pɑrˈtɪ.ʃən
pas,pɑz
pasadena,ˌpæ.səˈdi.nɚ
passport,ˈpæsˌpɔrt
pasted,ˈpeɪ.stɪd
pastoral,ˈpæs.tɚ.əl
pastors,ˈpæs.tɚz
patriotism,ˈpeɪ.tri.əˌtɪ.zəm
patterned,ˈpæ.tɚnd
pausing,ˈpɔ.zɪŋ
peanut,ˈpiˌnʌt
pear,pɛr
pedestrian,pəˈdɛs.tri.ən
peeling,ˈpi.lɪŋ
pegboard,ˈpɛgˌbɔrd
pels,pɛlz
percentages,pɚˈsɛ.nɪ.dʒɪz
perennial,pɚˈɛ.ni.əl
periodically,ˌpi.riˈɑ.dɪ.kə.li
perrin,ˈpɛ.rɪn
persist,pɚˈsɪst
pessimism,ˈpɛ.səˌmɪ.zəm
pessimistic,ˌpɛ.səˈmɪs.tɪk
pets,pɛts
photographers,fəˈtɑ.grə.fɚz
physicians,fəˈzɪ.ʃənz
pierce,pɪrs
piers,pɪrz
pigs,pɪgz
pilgrims,ˈpɪl.grəmz
piling,ˈpaɪ.lɪŋ
pinch,pɪntʃ
pins,pɪnz
pipeline,ˈpaɪˌplaɪn
pitches,ˈpɪ.tʃɪz
placid,ˈplæ.səd
plague,pleɪg
planter,ˈplæn.tɚ
pleasures,ˈplɛ.ʒɚz
poignant,ˈpɔɪn.jənt
poise,pɔɪz
poker,ˈpoʊ.kɚ
polarization,ˌpoʊ.lɚ.əˈzeɪ.ʃən
pollution,pəˈlu.ʃən
ponies,ˈpoʊ.niz
pool's,pulz
popped,pɑpt
popping,ˈpɑ.pɪŋ
portray,pɔrˈtreɪ
portrayed,pɔrˈtreɪd
possessing,pəˈzɛ.sɪŋ
posterior,ˌpɔˈstɪr.jɚ
posterity,pɑˈstɛ.rə.ti
potency,ˈpoʊ.tən.si
pounding,ˈpaʊn.dɪŋ
practicable,ˈpræk.tə.kə.bəl
practitioners,prækˈtɪ.ʃə.nɚz
predecessors,ˈprɛ.dəˌsɛ.sɚz
predicting,prɪˈdɪk.tɪŋ
preferable,ˈprɛ.fɚ.ə.bəl
presentations,ˌprɛ.zənˈteɪ.ʃənz
pretended,priˈtɛn.dəd
pretense,priˈtɛns
pretentious,priˈtɛn.ʃəs
prieur,ˈpri.ɚ
prizes,ˈpraɪ.zəz
probe,proʊb
progresses,ˈprɑ.grɛ.səz
progressively,prɑˈgrɛ.sɪv.li
projecting,prəˈdʒɛk.tɪŋ
promotional,prəˈmoʊ.ʃə.nəl
proponents,prəˈpoʊ.nənts
proposing,prəˈpoʊ.zɪŋ
props,prɑps
propulsion,prəˈpʌl.ʃən
prostitute,ˈprɑ.stəˌtut
prudence,ˈpru.dəns
pry,praɪ
psychotherapy,ˌsaɪ.koʊˈθɛ.rə.pi
public's,ˈpʌ.blɪks
publicized,ˈpʌ.blɪˌsaɪzd
puny,ˈpju.ni
puppet,ˈpʌ.pət
quackery,ˈkwæ.kɚ.i
quaker,ˈkweɪ.kɚ
qualitative,ˈkwɑ.ləˌteɪ.tɪv
queer,kwɪr
questionnaires,ˌkwɛs.tʃəˈnɛrz
quicker,ˈkwɪ.kɚ
ramp,ræmp
rat,ræt
rationale,ˌræ.ʃəˈnæl
reactors,riˈæk.tɚz
rebuilding,riˈbɪl.dɪŋ
rebut,rɪˈbʌt
reconstruct,ˌri.kənˈstrʌkt
recourse,ˈri.kɔrs
recurring,rɪˈkɝ.ɪŋ
redcoat,ˈrɛdˌkoʊt
referral,rɪˈfɝ.əl
refined,rəˈfaɪnd
reflective,rɪˈflɛk.tɪv
reflexes,ˈriˌflɛk.sɪz
refreshing,rɪˈfrɛ.ʃɪŋ
refuses,rɪfˈju.zɪz
regulars,ˈrɛg.jə.lɚz
reich,raɪk
relegated,ˈrɛ.ləˌgeɪ.tɪd
relic,ˈrɛ.lɪk
relinquish,rɪˈlɪŋ.kwɪʃ
remedies,ˈrɛ.mə.diz
replaces,rɪˈpleɪ.sɪz
repression,riˈprɛ.ʃən
reproduction,ˌri.prəˈdʌk.ʃən
republics,riˈpʌ.blɪks
rescued,ˈrɛs.kjud
residing,rɪˈzaɪ.dɪŋ
resolutions,ˌrɛ.zəˈlu.ʃənz
responding,rɪˈspɑn.dɪŋ
restoring,rɪˈstɔ.rɪŋ
retaliation,riˌtæ.liˈeɪ.ʃən
reversible,rɪˈvɝ.sə.bəl
reversing,rɪˈvɝ.sɪŋ
revived,rɪˈvaɪvd
revolving,riˈvɑl.vɪŋ
rexroth,ˈrɛks.rɑθ
ribbons,ˈrɪ.bənz
ridden,ˈrɪ.dən
right-hand,ˈkɑn.fə.dəns
righteousness,ˈraɪ.tʃəs.nəs
rings,rɪŋz
rinse,rɪns
rip,rɪp
ripped,rɪpt
rivalry,ˈraɪ.vəl.ri
roam,roʊm
robbers,ˈrɑ.bɚz
robbins,ˈrɑ.bɪnz
robe,roʊb
roberta,rəˈbɝ.tə
rococo,rəˈkoʊˌkoʊ
rodgers,ˈrɑ.dʒɚz
rotated,ˈroʊˌteɪ.tɪd
rotor,ˈroʊ.tɚ
rotunda,roʊˈtʌn.də
routes,raʊts
rub,rʌb
rude,rud
rue,ru
rumors,ˈru.mɚz
runaway,ˈrʌ.nəˌweɪ
rupee,ruˈpi
sacrifices,ˈsæ.krəˌfaɪ.sɪz
sadness,ˈsæd.nəs
saints,seɪnts
salesmanship,ˈseɪlz.mənˌʃɪp
salts,sɔlts
sandy,ˈsæn.di
savages,ˈsæ.və.dʒəz
savior,ˈseɪv.jɚ
sax,sæks
scaffold,ˈskæ.fəld
scarce,skɛrs
scent,sɛnt
schemes,skimz
schizophrenic,ˌskɪt.səˈfrɛ.nɪk
schnabel,ˈʃnæ.bəl
schwartz,ʃwɔrts
schwarzkopf,ˈʃwɔrt.skɔf
scratches,ˈskræ.tʃəz
sculptor,ˈskʌlp.tɚ
secretly,ˈsi.krət.li
seize,siz
seizure,ˈsi.ʒɚ
seller,ˈsɛ.lɚ
sensational,sɛnˈseɪ.ʃə.nəl
senseless,ˈsɛn.sləs
sensibilities,ˌsɛn.sɪˈbɪ.lɪ.tiz
sensors,ˈsɛn.sɚz
sensual,ˈsɛn.ʃə.wəl
sentry,ˈsɛn.tri
septa,ˈsɛp.tə
sequences,ˈsi.kwən.səz
serenity,sɚˈɛ.nə.ti
settlements,ˈsɛ.təl.mənts
severed,ˈsɛ.vɚd
sew,soʊ
sexually,ˈsɛk.ʃu.ə.li
shaded,ˈʃeɪ.dɪd
shafer,ˈʃeɪ.fɚ
shakespearean,ˌʃeɪkˈspɪ.ri.ən
shattering,ˈʃæ.tɚ.ɪŋ
shave,ʃeɪv
shaving,ˈʃeɪ.vɪŋ
sherlock,ˈʃɝˌlɑk
shipped,ʃɪpt
shoreline,ˈʃɔrˌlaɪn
shoving,ˈʃʌ.vɪŋ
siberia,saɪˈbɪ.ri.ə
sickness,ˈsɪk.nəs
sidewise,ˈsaɪdˌwaɪz
siege,sidʒ
signature,ˈsɪg.nə.tʃɚ
singly,ˈsɪŋ.gli
sinking,ˈsɪŋ.kɪŋ
sinned,sɪnd
sits,sɪts
slapping,ˈslæ.pɪŋ
sleepy,ˈsli.pi
slit,slɪt
slot,slɑt
slowing,ˈsloʊ.ɪŋ
smothered,ˈsmʌ.ðɚd
snack,snæk
sneaked,snikt
sniffed,snɪft
snoring,ˈsnɔ.rɪŋ
soaked,soʊkt
socialization,ˌsoʊ.ʃə.ləˈzeɪ.ʃən
sofa,ˈsoʊ.fə
softening,ˈsɔ.fə.nɪŋ
solace,ˈsɑ.ləs
solicitor,səˈlɪ.sə.tɚ
somebody's,ˈsʌmˌbɑ.diz
someplace,ˈsʌmˌpleɪs
sonatas,ˌsɑˈnɑ.təz
soprano,səˈprɑ.noʊ
soybeans,ˈsɔɪˌbinz
spacing,ˈspeɪ.sɪŋ
spectral,ˈspɛk.trəl
speedy,ˈspi.di
spelled,spɛld
spencer's,ˈspɛn.sɚz
spine,spaɪn
spoiled,spɔɪld
spoon,spun
sportsmen,ˈspɔrts.mɪn
spotlight,ˈspɑtˌlaɪt
sprayed,spreɪd
sprouting,ˈspraʊ.tɪŋ
spurred,spɝd
staggering,ˈstæ.gɚ.ɪŋ
stain,steɪn
stairway,ˈstɛrˌweɪ
stance,stæns
starving,ˈstɑr.vɪŋ
stealing,ˈsti.lɪŋ
steamed,stimd
stengel,ˈstɛŋ.gəl
stewart,ˈstu.ɚt
stimulate,ˈstɪm.jəˌleɪt
stint,stɪnt
storms,stɔrmz
straightening,ˈstreɪ.tə.nɪŋ
strangled,ˈstræŋ.gəld
stratford,ˈstræt.fɚd
strays,streɪz
streaks,striks
strengthened,ˈstrɛŋ.θənd
strewn,strun
stricken,ˈstrɪ.kən
strife,straɪf
stronghold,ˈstrɔŋˌhoʊld
stunning,ˈstʌ.nɪŋ
submitting,səbˈmɪ.tɪŋ
subordinate,səˈbɔr.dɪ.nət
subtly,ˈsʌ.tə.li
subtraction,səbˈtræk.ʃən
succeeding,səkˈsi.dɪŋ
successors,səkˈsɛ.sɚz
sucked,sʌkt
sunday's,ˈsʌnˌdeɪz
sundown,ˈsʌnˌdaʊn
sunk,sʌŋk
superimposed,ˌsu.pɚ.əmˈpoʊzd
supplemented,ˈsʌ.pləˌmɛn.təd
supplier,səˈplaɪ.ɚ
suppress,səˈprɛs
surgery,ˈsɝ.dʒə.ri
surveillance,sɚˈveɪ.ləns
susceptible,səˈsɛp.tə.bəl
suspense,səˈspɛns
sutherland,ˈsʌ.ðɚ.lənd
swam,swæm
sweetly,ˈswit.li
syndicate,ˈsɪn.də.kət
syntax,ˈsɪnˌtæks
tablespoon,ˈteɪ.bəlˌspun
tact,tækt
tagged,tægd
tangents,ˈtæn.dʒənts
tanned,tænd
tapping,ˈtæ.pɪŋ
teachings,ˈti.tʃɪŋz
tease,tiz
technician,tɛkˈnɪ.ʃən
tedious,ˈti.di.əs
teen,tin
telephones,ˈtɛ.ləˌfoʊnz
temptations,tɛmˈteɪ.ʃənz
tenor,ˈtɛ.nɚ
tentatively,ˈtɛn.tə.tɪv.li
tenuous,ˈtɛn.jə.wəs
terminology,ˌtɝ.mɪˈnɑ.lə.dʒi
terrier,ˈtɛ.ri.ɚ
textures,ˈtɛks.tʃɚz
thanked,θæŋkt
thankful,ˈθæŋk.fəl
thaw,θɔ
thelma,ˈθɛl.mə
thence,ðɛns
thermometers,θɚˈmɑ.mə.tɚz
thermostat,ˈθɝ.məˌstæt
thinker,ˈθɪŋ.kɚ
thinkers,ˈθɪŋ.kɚz
thinner,ˈθɪ.nɚ
thomas',ˈtɑ.məs
thomas's,ˈtɑ.mə.sɪz
throats,θroʊts
throttle,ˈθrɑ.təl
throws,θroʊz
thurber,ˈθɝ.bɚ
tightened,ˈtaɪ.tənd
tiles,taɪlz
tingling,ˈtɪŋ.gə.lɪŋ
tolerated,ˈtɑ.lɚˌeɪ.təd
tolley,ˈtɑ.li
toothbrush,ˈtuθ.brəʃ
topography,təˈpɑ.grə.fi
tories,ˈtɔ.riz
toronto,tɔˈrɑn.toʊ
totaling,ˈtoʊ.tə.lɪŋ
totalitarian,ˌtoʊˌtæ.lɪˈtɛ.ri.ən
totals,ˈtoʊ.təlz
touchdown,ˈtʌtʃˌdaʊn
toughness,ˈtʌf.nəs
towel,taʊl
traits,treɪts
transcends,trænˈsɛndz
traversed,ˈtræ.vɚst
treacherous,ˈtrɛ.tʃɚ.əs
treason,ˈtri.zən
treasures,ˈtrɛ.ʒɚz
tribal,ˈtraɪ.bəl
troopers,ˈtru.pɚz
tuberculosis,təˌbɝk.jəˈloʊ.sɪs
tubing,ˈtu.bɪŋ
tucked,tʌkt
turbine,ˈtɝ.baɪn
turner,ˈtɝ.nɚ
twists,twɪsts
udall,ˈju.dəl
uh,ʌ
unbearable,ˌʌnˈbɛ.rə.bəl
understands,ˌʌn.dɚˈstændz
underworld,ˈʌn.dɚˌwɝld
unduly,ˌʌnˈdu.li
uneasily,ˌʌˈni.zə.li
uneven,ˌʌˈni.vən
unfriendly,ˌʌnˈfrɛnd.li
unhappiness,ˌʌnˈhæ.pi.nɪs
uniformly,ˈju.nəˌfɔrm.li
universally,ˌju.nəˈvɝ.sə.li
unmarried,ˌʌnˈmɛ.rid
unorthodox,ˌʌˈnɔr.θəˌdɑks
unpopular,ˌʌnˈpɑp.jə.lɚ
unprepared,ˌʌn.priˈpɛrd
unreal,ˌʌnˈril
unwanted,ˌʌnˈwɔn.tɪd
upheld,əpˈhɛld
upkeep,ˈʌpˌkip
upwards,ˈʌp.wɚdz
uranium,jɚˈeɪ.ni.əm
urgently,ˈɝ.dʒənt.li
users,ˈju.zɚz
utah,ˈjuˌtɔ
vacancy,ˈveɪ.kən.si
vandiver,ˈvænˌdaɪ.vɚ
vantage,ˈvæn.tədʒ
vaults,vɔlts
veiled,veɪld
veins,veɪnz
velocities,vəˈlɑ.sə.tiz
vending,ˈvɛn.dɪŋ
venetian,vəˈni.ʃən
ventilation,ˌvɛ.nəˈleɪ.ʃən
verified,ˈvɛ.rəˌfaɪd
versa,ˈvɝ.sə
vibrant,ˈvaɪ.brənt
vicinity,vəˈsɪ.nə.ti
vietnamese,ˌvi.ət.nəˈmiz
villa,ˈvɪ.lə
virtuous,ˈvɝ.tʃu.əs
visibly,ˈvɪ.zə.bli
vogue,voʊg
volley,ˈvɑ.li
wallace,ˈwɔ.ləs
wallet,ˈwɔ.lət
wartime,ˈwɔrˌtaɪm
wastes,weɪsts
wavelengths,ˈweɪvˌlɛŋkθs
weakened,ˈwi.kənd
weakening,ˈwi.kə.nɪŋ
weaknesses,ˈwik.nə.sɪz
wears,wɛrz
web,wɛb
weider,ˈwaɪ.dɚ
welch's,ˈwɛl.tʃɪz
werner,ˈwɝ.nɚ
westfield,ˈwɛst.fild
wexler,ˈwɛk.slɚ
whatsoever,ˌwʌt.soʊˈɛ.vɚ
where's,wɛrz
whereupon,ˌwɛ.rəˈpɑn
whichever,wɪˈtʃɛ.vɚ
whig,wɪg
whigs,wɪgz
whining,ˈwaɪ.nɪŋ
whirled,wɝld
whistled,ˈwɪ.səld
whitey,ˈwaɪˌti
wiley,ˈwaɪ.li
willed,wɪld
william's,ˈwɪl.jəmz
wilmington,ˈwɪl.mɪŋ.tən
windshield,ˈwɪndˌʃild
wiping,ˈwaɪ.pɪŋ
withdrawal,wɪθˈdrɔ.əl
witnessing,ˈwɪt.nə.sɪŋ
wolf,wʊlf
workings,ˈwɝ.kɪŋz
workmanship,ˈwɝk.mənˌʃɪp
workout,ˈwɝˌkaʊt
workshops,ˈwɝkˌʃɑps
wrangler,ˈræŋ.gə.lɚ
wrapping,ˈræ.pɪŋ
wrecked,rɛkt
wrists,rɪsts
writhing,ˈraɪ.ðɪŋ
wrongs,rɔŋz
yarns,jɑrnz
yelling,ˈjɛ.lɪŋ
yesterday's,ˈjɛs.tɚˌdeɪz
yuri,ˈjʊ.ri
zenith,ˈzi.nəθ
zion,ˈzaɪ.ən
zoning,ˈzoʊ.nɪŋ
'round,raʊnd
aberrant,æˈbɛ.rənt
aberrations,ˌæ.bɚˈeɪ.ʃənz
abiding,əˈbaɪ.dɪŋ
abo,ˈɑ.boʊ
abreast,əˈbrɛst
abstention,æbˈstɛn.tʃən
abused,əbˈjuzd
academically,ˌæ.kəˈdɛ.mɪ.kli
accelerate,ækˈsɛ.lɚˌeɪt
accelerator,ækˈsɛ.ləˌreɪ.tɚ
accents,ˈæk.sənts
accessible,ækˈsɛ.sə.bəl
accounted,əˈkaʊn.əd
achieves,əˈtʃivz
acquiescence,ˌæ.kwiˈɛ.səns
activated,ˈæk.təˌveɪ.təd
acutely,əkˈjut.li
adamant,ˈæ.də.mənt
adapt,əˈdæpt
additionally,əˈdɪ.ʃə.nə.li
adhered,ædˈhɪrd
adherents,ædˈhɪ.rənts
administrators,ædˈmɪ.nɪˌstreɪ.tɚz
advantageous,ˌæd.vənˈteɪ.dʒəs
advent,ˈædˌvɛnt
adventurous,ədˈvɛn.tʃə.rəs
adversary,ˈæd.vɚˌsɛ.ri
advertisers,ˈæd.vɚˌtaɪ.zɚz
advisors,ædˈvaɪ.zɚz
affecting,əˈfɛk.tɪŋ
affiliations,əˌfɪ.liˈeɪ.ʃənz
affinity,əˈfɪ.nə.ti
affords,əˈfɔrdz
aft,æft
agenda,əˈdʒɛn.də
aggressiveness,əˈgrɛ.sɪv.nəs
aiming,ˈeɪ.mɪŋ
aimless,ˈeɪm.ləs
airfield,ˈɛrˌfild
airlines,ˈɛrˌlaɪnz
alan,ˈæ.lən
alcoves,ˈælˌkoʊvz
algerian,ælˈdʒɪ.ri.ən
allegations,ˌæ.ləˈgeɪ.ʃənz
alleviate,əˈli.viˌeɪt
allocated,ˈæ.ləˌkeɪ.tɪd
allowable,əˈlaʊ.ə.bəl
allusions,əˈlu.ʒənz
almighty,ɔlˈmaɪ.ti
aloof,əˈluf
alpert,ˈæl.pɚt
altar,ˈɔl.tɚ
ambivalence,æmˈbɪ.və.ləns
americana,əˌmɛ.rəˈkæ.nə
amounted,əˈmaʊ.nɪd
ancestral,ænˈsɛs.trəl
anemia,əˈni.mi.ə
animated,ˈæ.nəˌmeɪ.təd
another's,əˈnʌ.ðɚz
anterior,ænˈtɪ.ri.ɚ
antisubmarine,ˌæn.taɪˈsʌb.mɚˌin
anymore,ˌɛ.niˈmɔr
apocalyptic,əˌpɑ.kəˈlɪp.tɪk
apollo,əˈpɑ.loʊ
apologized,əˈpɑ.ləˌdʒaɪzd
applaud,əˈplɔd
appliance,əˈplaɪ.əns
appointees,ə.pɔɪnˈtiz
appreciable,əˈpri.ʃə.bəl
apprehensions,ˌæ.prɪˈhɛn.ʃənz
appropriately,əˈproʊ.pri.ɪt.li
appropriation,əˌproʊ.priˈeɪ.ʃən
approximated,əˈprɑk.səˌmeɪ.təd
arbiter,ˈɑr.bɪ.tɚ
arbitrarily,ˈɑr.bɪˌtrɛ.rə.li
arbuckle,ˈɑr.bə.kəl
archaic,ɑrˈkeɪ.ɪk
army's,ˈɑr.miz
arnolphe,ɑrˈnɑl.fi
arouse,əˈraʊz
arresting,əˈrɛs.tɪŋ
artistically,ɑrˈtɪs.tɪ.kli
arundel,ˈɛ.rən.dəl
ascribed,əsˈkraɪbd
askington,ˈæs.kɪŋ.tən
ass,æs
asserts,əˈsɝts
asset,ˈæˌsɛt
astonishment,əˈstɑ.nɪʃ.mənt
astounding,əˈstaʊn.dɪŋ
athletes,ˈæθˌlits
attachment,əˈtætʃ.mənt
attentive,əˈtɛn.tɪv
attrition,əˈtrɪ.ʃən
audubon,ˈɔ.də.bɑn
austere,ɔˈstɪr
authoritarian,əˌθɔ.rəˈtɛ.ri.ən
authorize,ˈɔ.θɚˌaɪz
authorizing,ˈɔ.θɚˌaɪ.zɪŋ
autobiography,ˌɔ.tə.baɪˈɑ.grə.fi
avenues,ˈæ.vəˌnuz
aviation,ˌeɪ.viˈeɪ.ʃən
awe,ɑ
awed,ɔd
awkwardly,ˈɔ.kwɚd.li
axle,ˈæk.səl
backlog,ˈbæˌklɑg
backwoods,ˈbæ.kwʊdz
badge,bædʒ
baer,bɛr
baffled,ˈbæ.fəld
balcony,ˈbæl.kə.ni
bald,bɔld
bale,beɪl
ballplayer,ˈbɔlˌpleɪ.ɚ
bancroft,ˈbæŋ.krɔft
bandstand,ˈbændˌstænd
banister,ˈbæ.nɪ.stɚ
banker,ˈbæŋ.kɚ
bankrupt,ˈbæŋ.krəpt
banter,ˈbæn.tɚ
barbell,ˈbɑrˌbɛl
baritone,ˈbɛ.rəˌtoʊn
barnard,ˈbɑr.nɑrd
barrage,bɚˈɑʒ
barre,bɑr
barth,bɑrθ
batch,bætʃ
baths,bæθs
battlefield,ˈbæ.təlˌfild
beacon,ˈbi.kən
bean,bin
beards,bɪrdz
beauties,ˈbju.tiz
bedside,ˈbɛdˌsaɪd
begotten,biˈgɔ.tɪn
believers,bəˈli.vɚz
belligerent,bəˈlɪ.dʒɚ.ənt
bequest,bɪˈkwɛst
berger's,ˈbɝ.gɚz
bern,bɝn
bertha,ˈbɝ.θə
beth,bɛθ
betting,ˈbɛ.tɪŋ
beverage,ˈbɛ.və.rɪdʒ
bicycle,ˈbaɪ.sɪ.kəl
bill's,bɪlz
birdie,ˈbɝ.di
biscuits,ˈbɪs.kəts
bivouac,ˈbɪv.wæk
blackened,ˈblæ.kənd
blackness,ˈblæk.nəs
blackout,ˈblæˌkaʊt
blasphemous,ˈblæs.fə.məs
bleached,blitʃt
bleachers,ˈbli.tʃɚz
blenheim,ˈblɛnˌhaɪm
board's,bɔrdz
boarded,ˈbɔr.dəd
boarding,ˈbɔr.dɪŋ
bogey,ˈboʊ.gi
bombing,ˈbɑ.mɪŋ
bookkeeping,ˈbʊkˌki.pɪŋ
bordering,ˈbɔr.dɚ.ɪŋ
boring,ˈbɔ.rɪŋ
borough,ˈbɝˌoʊ
bosses,ˈbɔ.sɪz
bout,baʊt
boyd,bɔɪd
boyhood,ˈbɔɪˌhʊd
braced,breɪst
bradford,ˈbræd.fɚd
brandishing,ˈbræn.dɪ.ʃɪŋ
breathless,ˈbrɛθ.ləs
brevard,ˈbrɛ.vɚd
brian,ˈbraɪ.ən
bride's,braɪdz
briskly,ˈbrɪs.kli
brother-in-law,ˈkɑn.fə.dəns
brows,braʊz
buckle,ˈbʌ.kəl
budd,bʌd
buddies,ˈbʌ.diz
budgets,ˈbʌ.dʒɪts
buds,bʌdz
buff,bʌf
bulge,bʌldʒ
bulwark,ˈbʊl.wɚk
bump,bʌmp
bunched,bʌntʃt
butchery,ˈbʊ.tʃɚ.i
butts,bʌts
buyers,ˈbaɪ.ɚz
byzantine,ˈbɪ.zənˌtaɪn
cabinets,ˈkæ.bə.nəts
cafes,kæˈfeɪz
cairo,ˈkaɪ.roʊ
candles,ˈkæn.dəlz
canon,ˈkæ.nən
cans,kænz
capacities,kəˈpæ.sə.tiz
capsule,ˈkæp.səl
captive,ˈkæp.tɪv
cardboard,ˈkɑrdˌbɔrd
caresses,kɚˈɛ.sɪz
caressing,kɚˈɛ.sɪŋ
carey,ˈkɛ.ri
carruthers,kɚˈʌ.ðɚz
cart,kɑrt
cartridges,ˈkɑr.trə.dʒəz
carts,kɑrts
carvey,ˈkɑr.vi
castro's,ˈkæs.troʊz
catastrophes,kəˈtæs.trə.fiz
catastrophic,ˌkæ.təˈstrɑ.fɪk
catharsis,kəˈθɑr.səs
catkins,ˈkæt.kənz
catskill,ˈkætˌskɪl
celebrating,ˈsɛ.ləˌbreɪ.tɪŋ
censorship,ˈsɛn.sɚˌʃɪp
centering,ˈsɛn.tɚ.ɪŋ
certify,ˈsɝ.təˌfaɪ
ceylon,sɪˈlɑn
changeable,ˈtʃeɪn.dʒə.bəl
channing,ˈtʃæ.nɪŋ
chaotic,keɪˈɑ.tɪk
chaplain,ˈtʃæ.plən
charitable,ˈtʃæ.rə.tə.bəl
chat,tʃæt
checkbook,ˈtʃɛkˌbʊk
checking,ˈtʃɛ.kɪŋ
cheekbones,ˈtʃikˌboʊnz
cheerfully,ˈtʃɪr.fə.li
chemically,ˈkɛ.mə.kli
cherish,ˈtʃɛ.rɪʃ
chestnut,ˈtʃɛsˌnʌt
chilling,ˈtʃɪ.lɪŋ
chilly,ˈtʃɪ.li
ching,tʃɪŋ
chloride,ˈklɔ.raɪd
chopping,ˈtʃɑ.pɪŋ
choreographed,ˈkɔ.ri.əˌgræft
choreographer,ˌkɔ.riˈɑ.grə.fɚ
christopher,ˈkrɪs.tə.fɚ
chronicle,ˈkrɑ.nɪ.kəl
chronology,krəˈnɑ.lə.dʒi
chuckle,ˈtʃʌ.kəl
chunks,tʃʌŋks
cicero,ˈsɪ.sɚˌoʊ
circulating,ˈsɝk.jəˌleɪ.tɪŋ
citation,saɪˈteɪ.ʃən
claimants,ˈkleɪ.mənts
clarification,ˌklɛ.rə.fəˈkeɪ.ʃən
